candidate,threshold,accuracy,prec_deceptive,recall_deceptive,f1_deceptive,prec_genuine,recall_genuine,f1_genuine,f1_macro,tn,fp,fn,tp
Word TF-IDF + MultinomialNB (uniform prior),0.7,0.4400852878464819,0.9291825095057035,0.233544379405089,0.37326968973747016,0.3331254547344351,0.9555754323196184,0.49402697495183046,0.4336483323446503,3205,149,6416,1955
"Word TF-IDF + MultinomialNB (prior=[0.3, 0.7])",0.3,0.7173560767590619,0.717467962501075,0.996535658822124,0.8342834283428343,0.7040816326530612,0.020572450805008944,0.03997682502896872,0.4371301266859015,69,3285,29,8342
"Word TF-IDF + MultinomialNB (prior=[0.3, 0.7])",0.35,0.7205117270788912,0.7209403192227619,0.9928323975630152,0.8353183577064174,0.6954314720812182,0.04084675014907573,0.07716136299633906,0.4562398603513782,137,3217,60,8311
"Word TF-IDF + MultinomialNB (prior=[0.3, 0.7])",0.4,0.7252878464818764,0.7263935291014595,0.9869788555728108,0.8368700936946062,0.6894586894586895,0.07215265354800239,0.13063427800269906,0.48375218584865265,242,3112,109,8262
"Word TF-IDF + MultinomialNB (prior=[0.3, 0.7])",0.45,0.7309168443496802,0.7339852862013279,0.9773025922828814,0.838346057283394,0.6718480138169257,0.1159809183064997,0.19781337401474702,0.5180797156490705,389,2965,190,8181
"Word TF-IDF + MultinomialNB (prior=[0.3, 0.7])",0.5,0.7408955223880597,0.7478390184961428,0.9611754867996655,0.8411918452692106,0.6635610766045549,0.19111508646392367,0.2967592592592593,0.568975552264235,641,2713,325,8046
"Word TF-IDF + MultinomialNB (prior=[0.3, 0.7])",0.55,0.743454157782516,0.7614822038030229,0.9328634571735754,0.8385053151508643,0.617687074829932,0.27072152653548004,0.37645107794361526,0.6074781965472398,908,2446,562,7809
"Word TF-IDF + MultinomialNB (prior=[0.3, 0.7])",0.6,0.7401279317697228,0.7809202195018995,0.8840043005614622,0.8292710259427355,0.568252556691863,0.3810375670840787,0.45618418704265573,0.6427276064926957,1278,2076,971,7400
"Word TF-IDF + MultinomialNB (prior=[0.3, 0.7])",0.65,0.7277611940298507,0.8059066745422327,0.814956397085175,0.8104062722736992,0.5248466257668711,0.5101371496720334,0.5173873601451466,0.663896816209423,1711,1643,1549,6822
"Word TF-IDF + MultinomialNB (prior=[0.3, 0.7])",0.7,0.693816631130064,0.8375935602316057,0.7085175008959503,0.7676676158426093,0.47459086993970717,0.6571258199165176,0.5511377844461115,0.6594027001443604,2204,1150,2440,5931
"Word TF-IDF + MultinomialNB (prior=[0.4, 0.6])",0.3,0.7252878464818764,0.7263935291014595,0.9869788555728108,0.8368700936946062,0.6894586894586895,0.07215265354800239,0.13063427800269906,0.48375218584865265,242,3112,109,8262
"Word TF-IDF + MultinomialNB (prior=[0.4, 0.6])",0.35,0.7321108742004264,0.7353311735061195,0.9761079918767173,0.8387825283580558,0.6737357259380098,0.12313655336911151,0.20821779682379632,0.523500162590926,413,2941,200,8171
"Word TF-IDF + MultinomialNB (prior=[0.4, 0.6])",0.4,0.7412366737739872,0.7499297555493116,0.9565165452156253,0.8407181856362873,0.6526717557251909,0.2039355992844365,0.31076783280327125,0.5757430092197793,684,2670,364,8007
"Word TF-IDF + MultinomialNB (prior=[0.4, 0.6])",0.45,0.742771855010661,0.7649678377041069,0.9234261139648787,0.8367612037237497,0.604320987654321,0.2918902802623733,0.3936469642139123,0.6152040839688311,979,2375,641,7730
"Word TF-IDF + MultinomialNB (prior=[0.4, 0.6])",0.5,0.7384221748400853,0.7846715328467153,0.873252896905985,0.826595804828405,0.5595682855956828,0.4019081693500298,0.46781190352247093,0.6472038541754379,1348,2006,1061,7310
"Word TF-IDF + MultinomialNB (prior=[0.4, 0.6])",0.55,0.7237526652452025,0.8078214971209213,0.8044439135109306,0.8061291674148561,0.5169666568309236,0.5223613595706619,0.5196500074150971,0.6628895874149766,1752,1602,1637,6734
"Word TF-IDF + MultinomialNB (prior=[0.4, 0.6])",0.6,0.693816631130064,0.8375935602316057,0.7085175008959503,0.7676676158426093,0.47459086993970717,0.6571258199165176,0.5511377844461115,0.6594027001443604,2204,1150,2440,5931
"Word TF-IDF + MultinomialNB (prior=[0.4, 0.6])",0.65,0.6447761194029851,0.8723441926345609,0.5885796201170709,0.7029032027962051,0.43327299654434753,0.7850327966607037,0.5583713285971795,0.6306372656966923,2633,721,3444,4927
